номер;дієслово;вид;дієприслівник від основи теперішнього часу;дієприслівник від основи чол.р. минулого часу
1;одпихати;N;одпихаючи;одпихавши
2;одпливти;N;одпливучи;одпливши
3;одплигувати;N;одплигуючи;одплигувавши
4;одплинути;N;одплинучи;одплинувши
5;одпліскувати;D;;одпліскувавши
6;одпльовувати;N;одпльовуючи;одпльовувавши
7;одповзати;N;одповзаючи;одповзавши
8;одповісти;D;;одповісвши
9;одповідати;N;одповідаючи;одповідавши
10;одполіровувати;N;одполіровуючи;одполіровувавши
11;одполірувати;N;одполіруючи;одполірувавши
12;одполіскувати;N;одполіскуючи;одполіскувавши
13;одполювати;N;одполюючи;одполювавши
14;одпоювати;N;одпоюючи;одпоювавши
15;одправляти;N;одправляючи;одправлявши
16;одпрасовувати;N;одпрасовуючи;одпрасовувавши
17;одпрацювати;D;;одпрацювавши
18;одпрацьовувати;N;одпрацьовуючи;одпрацьовувавши
19;одпровадити;N;одпровадячи;одпровадивши
20;одпроваджувати;N;одпроваджуючи;одпроваджувавши
21;одпродати;D;;одпродавши
22;одпродувати;N;одпродуваючи;одпродувавши
23;одпускати;N;одпускаючи;одпускавши
24;одрадити;N;одрадячи;одрадивши
25;одраджувати;N;одраджуючи;одраджувавши
26;одрапортовувати;N;одрапортовуючи;одрапортовувавши
27;одрапортувати;N;одрапортуючи;одрапортувавши
28;одраховувати;N;одраховуючи;одраховувавши
29;одрахувати;N;одрахуючи;одрахувавши
30;одраювати;N;одраюючи;одраювавши
31;одрегулювати;N;одрегулюючи;одрегулювавши
32;одредагувати;N;одредагуючи;одредагувавши
33;одрекомендовувати;N;одрекомендовуючи;одрекомендовувавши
34;одрекомендувати;N;одрекомендуючи;одрекомендувавши
35;одремонтувати;N;одремонтуючи;одремонтувавши
36;одрепати;D;;одрепавши
37;одривати;N;одриваючи;одривавши
38;одривати;N;одриваючи;одривавши
39;одригувати;N;одригуючи;одригувавши
40;одрізати;N;одрізаючи;одрізавши
41;одрізати;N;одрізаючи;одрізавши
42;одрізняти;N;одрізняючи;одрізнявши
43;одроджувати;N;одроджуючи;одроджувавши
44;одроювати;N;одроюючи;одроювавши
45;одрубати;D;;одрубавши
46;одружити;D;;одруживши
47;одружитися;D;;одружившись
48;одружувати;N;одружуючи;одружувавши
49;одрядити;N;одрядячи;одрядивши
50;одрятовувати;N;одрятовуючи;одрятовувавши
51;одрятувати;N;одрятуючи;одрятувавши
52;одряхліти;N;;одряхлівши
53;одряхнути;D;;одряхнувши
54;одсадити;N;одсадячи;одсадивши
55;одсаджувати;N;одсаджуючи;одсаджувавши
56;одсалютувати;N;одсалютуючи;одсалютувавши
57;одсахнутися;D;;одсахнувшись
58;одсвяткувати;N;одсвяткуючи;одсвяткувавши
59;одсидіти;N;одсидячи;одсидівши
60;одсиджувати;N;одсиджуючи;одсиджувавши
61;одсилати;N;одсилаючи;одсилавши
62;одсисати;N;одсисаючи;одсисавши
63;одсіювати;N;одсіюючи;одсіювавши
64;одслідковувати;N;одслідковуючи;одслідковувавши
65;одслідкувати;N;одслідкуючи;одслідкувавши
66;одслужувати;N;одслужуючи;одслужувавши
67;одсмоктувати;N;одсмоктуючи;одсмоктувавши
68;одсовувати;N;одсовуючи;одсовувавши
69;одсортовувати;N;одсортовуючи;одсортовувавши
70;одспівати;N;одспіваючи;одспівавши
71;одспівувати;N;одспівуючи;одспівувавши
72;одставати;N;одстаючи;одстававши
73;одстовбурчити;N;одстовбурчачи;одстовбурчивши
74;одстовбурчувати;N;одстовбурчуючи;одстовбурчувавши
75;одсторонювати;N;одсторонюючи;одсторонювавши
76;одстоювати;N;одстоюючи;одстоювавши
77;одстрашувати;N;одстрашуючи;одстрашувавши
78;одстрибати;N;одстрибаючи;одстрибавши
79;одстрибувати;N;одстрибуючи;одстрибувавши
80;одстригати;N;одстригаючи;одстригавши
81;одстрілювати;N;одстрілюючи;одстрілювавши
82;одстругувати;N;одстругуючи;одстругувавши
83;одстукати;N;одстукаючи;одстукавши
84;одступити;D;;одступивши
85;одступати;N;одступаючи;одступавши
86;одстьобати;N;одстьобаючи;одстьобавши
87;одсудити;D;;одсудивши
88;одсуджувати;N;одсуджуючи;одсуджувавши
89;одсукувати;N;одсукуючи;одсукувавши
90;одсьорбати;N;одсьорбаючи;одсьорбавши
91;одсьорбнути;D;;одсьорбнувши
92;одсьорбувати;N;одсьорбуючи;одсьорбувавши
93;одтавати;N;одтаючи;одтававши
94;одтанути;D;;одтанувши
95;одтанцювати;N;одтанцюючи;одтанцювавши
96;одтанцьовувати;N;одтанцьовуючи;одтанцьовувавши
97;одтарахтарити;D;;одтарахтаривши
98;одтворювати;N;одтворюючи;одтворювавши
99;одтирати;N;одтираючи;одтиравши
100;одтискати;N;одтискаючи;одтискавши
101;одтискати;N;одтискаючи;одтискавши
